adult,backdrop_path,genre_ids,id,original_language,original_title,overview,popularity,poster_path,release_date,title,video,vote_average,vote_count
False,,[],1086032,en,Blockade: Algonquins Defend the Forest,"Blockade follows the Barriere Lake Algonquins as they take on the government and the logging industry in a struggle to save their traditional hunting grounds and way of life. In September, 1989, this small First Nations community blockaded six new logging roads, calling for a moratorium on logging and insisting that the government address their concerns. Filmed on location during the period of the blockade, this film raises important questions about our attitudes toward the environment, the exploitation of our natural resources and the rights and treatment of Indigenous peoples.",0.0389,,1990-01-01,Blockade: Algonquins Defend the Forest,False,0.0,0
False,,[99],623746,nl,Janssen & Janssens draaien een film,A documentary celebrating 25 years of flemish subsidised cinema.,0.0297,/AnKJhkv0hXOH9nRm7q0lP6zrUFN.jpg,1990-11-01,Janssen & Janssens draaien een film,False,0.0,0
False,,[28],588545,id,Balada Tiga Jagoan,"After a gang murders her parents and burns her house down, a young woman recruits two of her female friends (who specialize in archery and marksmanship) to help get revenge.",0.0389,/iJo6P5OcYJEaZK42dwg7jtsYE9Z.jpg,1990-01-01,Ballad of the Three Heroes,False,0.0,0
False,/pZ8pFY1ZbDILm3ouEk9QIx5V0yk.jpg,[16],559757,fr,Le balayeur,,0.0143,/3fvvNch0WTmzXSBRFP1NKyulGrX.jpg,1990-01-01,The Streetsweeper,False,7.3,3
False,,[],534202,en,A fleur de terre,,0.0389,,1990-01-01,A fleur de terre,False,0.0,0
False,,[18],357769,en,Artwar Loop 2,The Artwar loops were made for non-cinematic exhibition and go from harsh film surface noise to colour bars and other video effects filmed from the TV. These can be watched as individual films or as loops.,0.0389,/sWrtSzQKlsWUDBUKSjkUsKMaTYB.jpg,1990-01-02,Artwar Loop 2,False,9.0,2
False,/wkaURibXot7tRA6Tha9lKRJupH5.jpg,[27],140694,en,Night of the Living Bread,"An explosion at a bakery causes bread to come to murderous life and attack people. A handful of desperate folks seek refuge in a secluded farmhouse. Will any of them survive the night of the living bread? Independent short spoof on the classic ""Night of the Living Dead"".",0.0297,/h0vpQFbEyTwqIXne08CoW8iMc9h.jpg,1990-01-01,Night of the Living Bread,False,5.8,9
False,/gUXddEwJ5pIWjQeR7eDLQJWcKKk.jpg,"[10402, 99]",1307526,en,Pixies: Live in Utrecht,Proshot of the same gig included in the Death to The Pixies compilation.,0.0327,/hK77VOOw2ci5BiODY2RIVgFvekU.jpg,1990-09-25,Pixies: Live in Utrecht,False,0.0,0
False,,[99],1022412,tk,Ювелирное ремесло,"The master collects silver parings, melts it down, created earrings, rings, bracelets, hair pins, stones inset into the silver, the master imparting the craft to his apprentices.",0.0388,,1990-01-01,Turkmen Jewelry Craft,False,0.0,0
False,,[10402],960951,fi,Raptori Moe!,,0.0639,/5Uw5byF0pjoSfHvYSsW9s43XTsE.jpg,1990-12-06,Raptori Moe!,False,0.0,0
False,,"[99, 10402]",741954,en,Heart on the Line,"An exploration of the world of songwriters in Nashville. It features performances by Dean Dillon, Frank Dycus, Harlan Howard, 'Cowboy' Jack Clement, and Whitey Schafer, as well as the lesser known Junior Lee Farrell and Danny Jackson.",0.1,/A0h00kVdtW9S3wVjr7oViZ9a0Ko.jpg,1990-01-01,Heart on the Line,False,0.0,0
False,,[99],730431,de,Shanty ... oder Schwierigkeiten mit der Jugendmode,"Documentary short about fashion for young people in the GDR, filmed in 1989.",0.0388,/b7YJKD3oz3M0FESOdRjKcDCoqvk.jpg,1990-04-20,Shanty ... oder Schwierigkeiten mit der Jugendmode,False,0.0,0
False,,[],1446968,en,Distance,"The sound of a woman humming to herself is mixed with an expansive drone. This intimate acoustic space is visually extended by patterned images, moving in and out of a white field.",0.0387,/eNu6bmc5gaCPX3DAPd11IxsElgQ.jpg,1990-01-01,Distance,False,0.0,0
False,/rdzDpRdgTyuoJRcENLFEzq3rIOc.jpg,[],1440788,en,The Children's Royal Variety Performance,"A gala evening from the Dominion Theatre in London, presenting a galaxy of star entertainers, from as far afield as the United States of America, Czechoslovakia, Australia and Russia. Plus a host of talented young performers.",0.0387,/x7Rff9Z2lpCq4EyOpGQn2NzB1v0.jpg,1990-05-07,The Children's Royal Variety Performance,False,0.0,0
False,,[99],1431388,en,A Search for Solid Ground: The Intifada Through Israeli Eyes,"Hodding Carter hosts the program, which includes another look at the Gaza Strip-West Bank uprising and a panel discussion on recent peace proposals.",0.0363,,1990-01-16,A Search for Solid Ground: The Intifada Through Israeli Eyes,False,0.0,0
False,,"[99, 16]",1329638,en,The State of the Art: Aardman,Documentary on the early days of Aardman Animation.,0.0387,,1990-01-01,The State of the Art: Aardman,False,0.0,0
False,,[99],1273915,fr,Chère Amérique,"Two women from Montreal, from very different backgrounds, become great friends. Celeste, of Portuguese origin, sacrifices the love of her family to make her fortune in America. Catherine, single, dedicates herself completely to her double career as a journalist and harpsichordist, and dreams of starting her own family, without giving up her professional aspirations.",0.0698,,1990-04-18,Dear America,False,0.0,0
False,,"[16, 27]",1238848,en,Anger,A fleshy nightmare barrages the viewer with an onslaught of abstract gore and nonsensical terror.,0.0256,/gwI1Ei17QtwIukY8WVx1gDHZ47i.jpg,1990-01-01,Anger,False,0.0,0
False,,[],1233492,en,False Profit,"In a world of deregulated TV, Valentine works for her stepfather - a TV evangelist. When a 'video pirate' hijacks the airwaves, ratings soar, corruption is exposed, and a love affair begins.",0.0552,/fsiWOYDBOHJhW5IO0hxvmoMA643.jpg,1990-01-25,False Profit,False,0.0,0
False,,[],1057749,tr,Dul Kadinlar,A story about a widow,0.0363,,1990-01-01,Widow,False,0.0,0
